datetime,source,face,face_bbox_x1,face_bbox_y1,face_bbox_x2,face_bbox_y2,head_yaw,head_pitch,head_roll,left_eye_state,right_eye_state,left_eye_state_confidence,right_eye_state_confidence,gaze_yaw,gaze_pitch,facial_expression,race,gender,age,face_center_x,face_center_y,face_area,person
2024-12-12 17:51:16.256924975,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,280,176,357,290,0.99,-18.09,2.18,open,open,1.0,1.0,-9.42,-12.74,frowning,middle_eastern,male,35,318.5,233.0,8778,1
2024-12-12 17:51:16.256924975,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,313,493,426,639,-5.13,28.45,-2.04,open,open,1.0,1.0,-9.61,9.48,neutral,middle_eastern,male,25,369.5,566.0,16498,3
2024-12-12 17:51:16.256924975,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,910,553,971,628,-0.65,23.71,-6.99,open,open,0.94,1.0,-6.16,-2.59,neutral,white,male,45,940.5,590.5,4575,0
2024-12-12 17:51:16.402540758,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,908,132,1040,340,-11.95,-17.48,7.85,open,open,1.0,1.0,-28.64,1.45,neutral,middle_eastern,male,25,974.0,236.0,27456,2
2024-12-12 17:51:16.402540758,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,280,176,356,290,0.56,-15.86,2.31,open,open,1.0,1.0,-11.12,-12.29,frowning,middle_eastern,male,35,318.0,233.0,8664,1
2024-12-12 17:51:16.402540758,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,317,492,431,640,-4.17,27.3,-1.37,open,open,1.0,1.0,-6.73,10.55,neutral,middle_eastern,male,25,374.0,566.0,16872,3
2024-12-12 17:51:16.402540758,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,909,555,968,627,0.55,22.57,-5.95,open,open,0.64,1.0,-6.06,-4.75,neutral,white,male,45,938.5,591.0,4248,0
2024-12-12 17:51:16.544789702,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,907,130,1039,339,-13.53,-17.04,8.17,open,open,1.0,1.0,-28.76,1.34,neutral,middle_eastern,male,25,973.0,234.5,27588,2
2024-12-12 17:51:16.544789702,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,280,173,357,289,2.98,-3.72,5.05,open,open,1.0,1.0,13.22,0.34,frowning,middle_eastern,male,35,318.5,231.0,8932,1
2024-12-12 17:51:16.544789702,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,313,491,430,643,-3.87,26.98,-1.53,open,open,1.0,1.0,-9.0,10.29,admired,white,male,25,371.5,567.0,17784,3
2024-12-12 17:51:16.544789702,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,914,561,969,628,0.27,25.03,-4.38,closed,closed,1.0,1.0,0.85,4.45,neutral,white,male,45,941.5,594.5,3685,0
2024-12-12 17:51:16.700506002,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,906,129,1039,338,-12.58,-19.83,8.25,open,open,1.0,1.0,-26.93,-0.46,neutral,white,male,25,972.5,233.5,27797,2
2024-12-12 17:51:16.700506002,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,280,171,356,285,-0.05,16.19,1.33,open,open,1.0,1.0,23.43,14.44,neutral,middle_eastern,male,35,318.0,228.0,8664,1
